city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,8way_int_count,9way_int_count,7way_int_prop,8way_int_prop,9way_int_prop,10way_int_count,10way_int_prop,11way_int_count,11way_int_prop,12way_int_count,13way_int_count,14way_int_count,15way_int_count,16way_int_count,17way_int_count,18way_int_count,19way_int_count,20way_int_count,21way_int_count,22way_int_count,23way_int_count,24way_int_count,25way_int_count,26way_int_count,27way_int_count,28way_int_count,12way_int_prop,13way_int_prop,14way_int_prop,15way_int_prop,16way_int_prop,17way_int_prop,18way_int_prop,19way_int_prop,20way_int_prop,21way_int_prop,22way_int_prop,23way_int_prop,24way_int_prop,25way_int_prop,26way_int_prop,27way_int_prop,28way_int_prop
ksar el boukhari,2092,2.791613722998729,465.4292716962338,384.40791182026936,114132.2425113077,64052.706961639866,137,2,536,112.0,0.0,0.0,0.0025412960609911,0.0,0.0,0.0072663481962592,0.8573248407643312,0.7405750798722045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksar el kebir,1634,3.0679434564523484,454.3705640116068,425.7781618987012,81101.94415580033,40959.18020870057,138,0,1630,425.0,0.0,0.0,0.0,0.0,0.0,0.0110932533731495,0.8062015503875969,1.0015978087194704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksar hellal,2848,3.019427616461249,333.19687666032434,319.9024117674641,65543.8244192326,33272.592337369904,191,3,4116,476.0,1.0,0.0,0.0006266973052015,0.0002088991017338,0.0,0.0100141543911532,0.9002926421404682,0.9508522430199728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuala kapuas,12705,2.5109361329833773,507.6365335189883,367.2925749958034,139257.3352094106,71743.11388870732,316,0,754,73.0,0.0,0.0,0.0,0.0,0.0,0.0070757527238986,0.9361329833770778,0.6953090749671197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuala terengganu,11367,2.5887470997679816,478.0355636681716,363.7950461326225,101043.22800416412,55719.6702307509,1648,9,4776,458.0,4.0,1.0,0.0013051044083526,0.0005800464037122,0.000145011600928,0.0085792963542047,0.9327718890663568,0.6758660759677536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuandian,11736,2.8095238095238093,18.004077267972743,14.146060710550012,20114.959520231383,10079.434982174093,18,0,46,20.0,0.0,0.0,0.0,0.0,0.0,0.001786218900148,0.7619047619047619,0.9079754601226994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuantan,11420,2.760616494507296,350.13869319520774,294.7962271777983,70391.37894203243,39653.45954741528,964,19,4633,479.0,4.0,0.0,0.0031152647975077,0.0006558452205279,0.0,0.0088299658388326,0.9205592105263158,0.7377211024269847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuchai kot,8616,2.3157894736842106,6.756663782674041,4.0641586662701,14617.98072501942,8490.302546577961,53,0,65,15.0,0.0,0.0,0.0,0.0,0.0,0.0007958095421932,0.8872180451127819,0.5593869731800766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuchaman,6740,2.824786324786325,51.293605649870784,41.64865416015149,31025.680038589,15512.840019294534,44,0,144,45.0,1.0,0.0,0.0,0.0042735042735042,0.0,0.0033065257932185,0.8034188034188035,0.9136069114470844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuching,12454,2.437413630082188,225.2807232550044,156.7576317827207,44359.118654348975,25364.5532378268,4182,54,8839,666.0,7.0,1.0,0.0039275583678813,0.0005091279365772,7.273256236817223e-05,0.0088817146173518,0.9507849580138736,0.5800985941208691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuhdasht,5569,2.9878048780487805,236.18131446647223,210.43899131959304,64504.00876176583,35218.43322981822,143,2,897,268.0,2.0,0.0,0.0015243902439024,0.0015243902439024,0.0,0.0067061845972894,0.7938931297709924,0.8638623326959847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuichong sub district,12312,2.8321917808219177,39.94628395578808,32.558957470813574,24963.707841802352,16862.074766550613,54,2,177,57.0,2.0,0.0,0.0068493150684931,0.0068493150684931,0.0,0.0023690017099811,0.7965517241379311,0.6330434782608696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuitan,12441,2.333333333333333,13.321569171986,8.179910895079123,19671.40472861912,11378.04407850701,22,0,29,6.0,0.0,0.0,0.0,0.0,0.0,0.0011708136372182,0.8947368421052632,0.5871559633027523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuito,3282,2.979709350150809,180.0365139017362,160.48771776653265,53342.39003243357,27067.4233203268,396,2,2536,707.0,5.0,1.0,0.00054839594187,0.001370989854675,0.000274197970935,0.0066514093998202,0.8043895747599451,0.9290322580645162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuje,2553,2.535573122529644,214.69315352802263,159.95912822147145,55834.69027826329,28161.759398769504,258,0,710,43.0,0.0,1.0,0.0,0.0,0.0009881422924901,0.0076235703347924,0.9565217391304348,0.7176820208023774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kulai,11496,2.878139534883721,281.9558108340899,247.42168826681376,81209.27642500147,46338.967671659455,395,5,2425,398.0,2.0,0.0,0.0015503875968992,0.0006201550387596,0.0,0.0060846372934313,0.8757763975155279,0.7768453768453768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kulim,10982,2.688611491108071,289.3136867821627,231.7279939958362,67813.04193718235,35625.822169651874,1164,4,4176,497.0,7.0,0.0,0.0006839945280437,0.0011969904240766,0.0,0.0081208985270413,0.9137577002053388,0.7680390310707866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kulob,6083,2.6519756838905777,51.68006735236288,39.82035584748934,28974.228538712367,14734.665719030778,151,0,434,73.0,0.0,0.0,0.0,0.0,0.0,0.0035073796947843,0.8890577507598785,0.7620137299771167,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kulpi,9747,2.0,3.7889285306738896,1.794755619792895,8463.705759977254,4231.85287998863,10,0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0008953355984067,0.9473684210526316,0.6060606060606061,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kultaevo,4992,2.507880910683012,163.71791940377224,115.83544560266895,62619.92508930283,35787.58083425834,167,3,348,50.0,3.0,0.0,0.0052539404553415,0.0052539404553415,0.0,0.0045747132269709,0.9066901408450704,0.6251105216622458,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kumanovo,3343,2.476802683063164,247.74419741956527,171.1636825101077,62498.85977732471,33210.428588009294,553,2,1065,166.0,3.0,0.0,0.0011179429849077,0.0016769144773616,0.0,0.0074598313828751,0.9054280917739228,0.674978985710283,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
