country,country_iso,core_city,uc_id,cc_avg_dir,cc_avg_undir,cc_wt_avg_dir,cc_wt_avg_undir,circuity,elev_iqr,elev_mean,elev_median,elev_range,elev_std,grade_mean,grade_median,intersect_count,intersect_count_clean,intersect_count_clean_topo,k_avg,length_mean,length_median,length_total,street_segment_count,node_count,orientation_entropy,orientation_order,pagerank_max,prop_4way,prop_3way,prop_deadend,self_loop_proportion,straightness,uc_names,world_region,world_subregion,resident_pop,area,built_up_area
saudi_arabia,SAU,jeddah,4921,0.0228646038103356,0.0267039215207793,0.0003635497675218,0.0004057320258376,1.0369421403812409,35.0,33.02813636252715,21.0,162.0,30.731657675961287,0.0325898072736069,0.016,38628,31946,32724,3.026184143097684,114.92013252157084,74.654,7125622.817,62005,40979,3.3370037378426702,0.2118003337373377,0.0001029091117963,0.1402181605212425,0.7978232753361478,0.0573708484833695,0.000741875655189,0.9643739617259084,Jeddah,Asia,Western Asia,3517161,537.0,193.925048828
spain,ESP,valencia,1911,0.0353754372961183,0.0672938697742827,0.0003260703991477,0.0005305599516822,1.0464032902751812,44.0,41.51157293063298,29.0,161.0,34.861845670440104,0.0292109154766856,0.013,26456,19948,20158,3.053983487403853,91.93546058043349,59.495000000000005,3978782.863,43278,28342,3.5393959739151963,0.0397591974600463,0.0001835097394153,0.2005857031966692,0.7185801989979536,0.0665443511396514,0.0009704699847497,0.9556544874175824,Valencia,Europe,Southern Europe,1393120,333.0,183.68460083
pakistan,PAK,rawalpindi_islamabad,6329,0.023326178637085,0.0269711364692525,0.0004741551252035,0.000518489588577,1.0501548656932689,40.0,511.3359322558992,507.0,221.0,35.27392131503979,0.0315599287553481,0.018,30190,25105,25424,2.6670625290442507,96.43521801250652,63.853,4981168.316,51653,38734,3.458645650276934,0.1104346569097085,0.0001146473993776,0.1175711261424071,0.6591366757887127,0.2205814013528166,0.0011035177046831,0.9522405053466486,Rawalpindi; Islamabad,Asia,South-Central Asia,3738563,400.0,79.689201355
bolivia,BOL,cochabamba,897,0.0268275093888896,0.0333218373186189,0.0004437063609716,0.0004917829967407,1.0274075577705744,110.0,2622.0142167381973,2599.0,522.0,68.47402538725076,0.0506045896072115,0.029,23746,18880,19219,3.069206008583691,91.38872262591454,74.452,3659844.175,40047,26096,3.4102441222284297,0.1515025140886203,0.0001439960774438,0.2710377069282648,0.6321658491722869,0.0900521152667075,0.0005743251679276,0.9733235778116648,Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,Latin America and the Caribbean,South America,1091206,223.0,78.0016174316
india,IND,mumbai,6845,0.0344859213380294,0.0402234666067399,0.0004306312343064,0.0004761900369007,1.0682839907500723,11.0,14.94668105576997,11.0,304.0,12.9846538674605,0.0237427230293176,0.01,44719,35764,36109,2.790071518721077,116.2066925971574,78.79500000000002,8862852.031,76268,54671,3.5197278880277403,0.0572222269717744,8.423643292636981e-05,0.1565912458158804,0.6570210897916628,0.1820343509355965,0.0015340640897886,0.93608067579284,Mumbai; Thane; Kalyan-Dombivli; Navi Mumbai; Mira-Bhayander; Ulhasnagar; Bhiwandi,Asia,South-Central Asia,21755882,1077.0,364.170318604
mexico,MEX,guadalajara,88,0.0223320256968134,0.0279680923414822,0.0003185902094183,0.000378373580018,1.0310958702028477,65.0,1581.5675587427895,1574.0,494.0,48.63494408453388,0.0328001160310832,0.016,70181,57895,58716,2.9599593667992887,81.95802179259852,61.248,10030104.665,122381,82691,3.34508575613886,0.2052555961817185,5.9213119774973336e-05,0.2642125503380053,0.5764956283029592,0.1512861133617927,0.0011848244417025,0.9698419214920044,Guadalajara; Zapopan; Tlaquepaque; Tonalá,Latin America and the Caribbean,Central America,4530296,592.0,350.957977295
philippines,PHL,cebu_city,12981,0.0290562023267296,0.0317694758181295,0.0006356030039389,0.0006762552667216,1.084595225167772,20.0,22.4351822214093,13.0,334.0,26.350018170773502,0.0381690938511326,0.015,14426,12302,12339,2.373771091499383,90.75206892433349,59.8095,2355560.701,25956,21869,3.5711965444870453,0.011184874862358,0.0001662278653981,0.0640175591019251,0.5926196899721067,0.3403447802825918,0.0039297272306981,0.9220029526179352,Cebu City; Lapu-Lapu; Mandaue; Talisay; Naga; Danao; Carcar,Asia,South-Eastern Asia,2678295,351.0,99.3340835571
cameroon,CMR,yaounde,2961,0.0249166985926129,0.0279975034073398,0.0015124216502012,0.0015802462273946,1.0613455876259092,37.0,721.9593794183958,719.0,341.0,28.4688990093418,0.0735303239352129,0.043,19071,16716,16779,2.5480530398563186,92.54853722255552,70.948,3085568.2310000006,33340,26169,3.580846358488213,0.0024312076314166,0.0001336782075513,0.1006152317627727,0.625205395697199,0.2712369597615499,0.0003899220155968,0.9422001765107147,Yaounde,Africa,Middle Africa,3465247,251.0,150.504333496
united_states,USA,baltimore,880,0.0355390375636398,0.0499107407089169,0.0004598215942271,0.0005719377222383,1.0657603134475904,100.0,74.68087178165364,61.0,234.0,55.192368402777056,0.0302821449851042,0.02,28951,25817,25995,2.8839820144915085,140.92328981132073,101.5945,7095487.641999999,50350,34917,3.516525173665601,0.0600507017993501,0.0001381147045499,0.2300025775410258,0.585445485007303,0.1708623306698742,0.0076663356504468,0.9382972769600844,Baltimore; Towson,Northern America,Northern America,1360858,742.0,442.294403076
turkey,TUR,ankara,3809,0.0295001456327879,0.0374040481378957,0.000642504729181,0.0007320835495479,1.0453199023475526,163.0,969.7896813711056,956.0,588.0,98.69715718599916,0.0718916955620556,0.047,31442,27035,27445,3.0404028505801284,102.568172907425,74.878,5294876.790000001,51623,33958,3.568584986879257,0.0135472729371024,0.0001507936671062,0.1951233877142352,0.7268684845986219,0.0740915248247835,0.0004261666311527,0.9566449445325068,Ankara,Asia,Western Asia,3002439,376.0,166.20223999
